Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2021-04-28,The Falcon and the Winter Soldier,2021,https://boxd.it/1Phnvd,3,,,2021-04-28
2021-05-19,Captain America: The Winter Soldier,2014,https://boxd.it/1S6TqJ,3,,,2021-05-18
2021-05-24,My Neighbor Totoro,1988,https://boxd.it/1SHhvF,4,,,2021-05-22
2021-05-24,Soul,2020,https://boxd.it/1SHgJB,4,,,2021-05-23
2021-05-29,Dirty Dancing,1987,https://boxd.it/1Tlb23,3.5,Yes,,2021-05-28
2021-05-29,Hot Rod,2007,https://boxd.it/1TmsMT,3,Yes,,2021-05-28
2021-06-02,Bo Burnham: Inside,2021,https://boxd.it/1TZrW7,4.5,,,2021-05-31
2021-06-24,Hot Rod,2007,https://boxd.it/1WMhLJ,3,Yes,,2021-06-18
2021-07-18,Loki,2021,https://boxd.it/20d44N,3,,,2021-07-14
2021-07-22,Kiki's Delivery Service,1989,https://boxd.it/20PgYf,3.5,,,2021-07-22
2021-07-23,Space Jam: A New Legacy,2021,https://boxd.it/20WNGd,2,,,2021-07-22
2021-07-24,"Yes, God, Yes",2019,https://boxd.it/214MiP,3.5,,,2021-07-23
2021-07-25,The Confession Killer,2019,https://boxd.it/21a3Iv,3,,,2021-07-24
2021-07-28,Twilight,2008,https://boxd.it/21DKc1,4,Yes,,2021-07-27
2021-07-28,Bo Burnham: Inside,2021,https://boxd.it/21DKh1,3,Yes,,2021-07-27
2021-07-31,Black Widow,2021,https://boxd.it/225nnr,3,,,2021-07-30
2021-08-07,The Suicide Squad,2021,https://boxd.it/234rXb,3,,,2021-08-06
2021-08-08,Donnie Darko,2001,https://boxd.it/23j4lX,5,,,2021-08-08
2021-08-15,Free Guy,2021,https://boxd.it/24jxe1,2,,,2021-08-14
2021-08-23,Surviving R. Kelly,2019,https://boxd.it/25v8MZ,3.5,,,2021-08-22
2021-08-23,The Falcon and the Winter Soldier,2021,https://boxd.it/25vbR9,3,Yes,,2021-08-22
2021-09-06,Labyrinth,1986,https://boxd.it/27oIqT,3.5,Yes,,2021-09-04
2021-09-18,Boogie Nights,1997,https://boxd.it/2969Lp,4.5,,,2021-09-18
2021-09-25,American Psycho,2000,https://boxd.it/2a10U7,5,,,2021-09-25
2021-10-03,The Guilty,2021,https://boxd.it/2b8qqZ,4,,,2021-10-02
2021-10-04,Ghost,1990,https://boxd.it/2bkyBF,3.5,,,2021-10-04
2021-10-30,Donnie Darko,2001,https://boxd.it/2fjETJ,5,Yes,,2021-10-22
2021-10-30,School of Rock,2003,https://boxd.it/2fjEi9,4,,,2021-10-30
2021-11-05,The Rocky Horror Picture Show,1975,https://boxd.it/2gj4lv,4,,,2021-10-30
2021-11-04,Scream,1996,https://boxd.it/2ga0Zt,3.5,,,2021-11-03
2021-11-05,The Machinist,2004,https://boxd.it/2gjCeD,4,,,2021-11-04
2021-11-12,21 Jump Street,2012,https://boxd.it/2hmKqn,3,,,2021-11-11
2021-11-14,The French Dispatch,2021,https://boxd.it/2hIQ6n,4,,,2021-11-13
2021-11-26,Murder Among the Mormons,2021,https://boxd.it/2jxKQv,3.5,,,2021-11-25
2021-12-19,Friday the 13th,1980,https://boxd.it/2n6gpB,2.5,,,2021-12-18
2021-12-23,The Bling Ring,2013,https://boxd.it/2nOW3l,3,,,2021-12-22
2021-12-25,Encanto,2021,https://boxd.it/2obz7b,3.5,,,2021-12-24
2021-12-25,"tick, tick... BOOM!",2021,https://boxd.it/2ogWnr,4,,,2021-12-24
2021-12-27,Spider-Man: No Way Home,2021,https://boxd.it/2oIOWz,3.5,,,2021-12-26
2021-12-29,The Social Network,2010,https://boxd.it/2pdS8v,4.5,,,2021-12-28
2021-12-29,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,https://boxd.it/2pdSKf,3,Yes,,2021-12-28
2021-12-29,Spider-Man 2,2004,https://boxd.it/2pirmZ,4,,,2021-12-28
2021-12-30,The Amazing Spider-Man,2012,https://boxd.it/2pwttB,3,,,2021-12-29
2021-12-30,The Fly,1986,https://boxd.it/2pxNrd,3,,,2021-12-29
2021-12-31,Red Rocket,2021,https://boxd.it/2pUOdn,4,,,2021-12-30
2022-01-11,The Grand Budapest Hotel,2014,https://boxd.it/2sPXBF,4.5,,,2022-01-10
2022-02-07,The Secret World of Arrietty,2010,https://boxd.it/2yGrGJ,4,,,2022-02-06
2022-03-02,Palm Springs,2020,https://boxd.it/2CIJyj,3.5,,,2022-03-01
2022-03-03,A Clockwork Orange,1971,https://boxd.it/2CZ5jR,4,,,2022-03-02
2022-03-04,The Lighthouse,2019,https://boxd.it/2D9upZ,4.5,,,2022-03-03
2022-03-07,The Batman,2022,https://boxd.it/2DNRPL,4,,,2022-03-06
2022-03-08,Fresh,2022,https://boxd.it/2DTUU7,3.5,,,2022-03-07
2022-03-08,Fresh,2022,https://boxd.it/2DTVYp,3.5,Yes,,2022-03-07
2022-03-09,A Nightmare on Elm Street,1984,https://boxd.it/2Ea0pr,3,,,2022-03-08
2022-03-10,Prisoners,2013,https://boxd.it/2EjJmP,4.5,,,2022-03-09
2022-03-11,Parasite,2019,https://boxd.it/2Esx4H,4.5,,,2022-03-10
2022-03-12,Black Swan,2010,https://boxd.it/2ExBXr,4,,,2022-03-11
2022-03-13,Django Unchained,2012,https://boxd.it/2ETHlx,5,,,2022-03-12
2022-03-14,Christine,1983,https://boxd.it/2F88T5,3,,,2022-03-13
2022-03-17,Willy's Wonderland,2021,https://boxd.it/2FEZnb,2.5,,,2022-03-16
2022-03-18,The Great Muppet Caper,1981,https://boxd.it/2FQ2oX,4,,,2022-03-17
2022-03-25,The Exorcist,1973,https://boxd.it/2H9kHP,3.5,,,2022-03-24
2022-03-26,The Edge of Seventeen,2016,https://boxd.it/2HkHjD,3,,,2022-03-25
2022-03-30,Howl's Moving Castle,2004,https://boxd.it/2I3MWZ,4,,,2022-03-29
2022-03-31,The Tinder Swindler,2022,https://boxd.it/2IdB4n,3,,,2022-03-30
2022-04-01,Flower,2017,https://boxd.it/2ImYbT,3,,,2022-03-31
2022-04-03,The Lego Batman Movie,2017,https://boxd.it/2ILjmr,4,Yes,,2022-04-02
2022-04-11,Bad Vegan: Fame. Fraud. Fugitives.,2022,https://boxd.it/2KaWLz,3,,,2022-04-10
2022-04-17,Superbad,2007,https://boxd.it/2LaIoF,4,Yes,,2022-04-16
2022-05-12,Scooby-Doo 2: Monsters Unleashed,2004,https://boxd.it/2PGjyb,3,,,2022-05-04
2022-05-12,The Rocky Horror Picture Show,1975,https://boxd.it/2PGjrJ,4,Yes,,2022-05-08
2022-05-12,Chicago,2002,https://boxd.it/2PHX8f,3.5,Yes,,2022-05-11
2022-05-21,House of Gucci,2021,https://boxd.it/2RdJNV,3.5,,,2022-05-19
2022-05-26,The Batman,2022,https://boxd.it/2SbuUn,4.5,Yes,,2022-05-25
2022-05-27,The Matrix,1999,https://boxd.it/2SkPRR,4,,,2022-05-26
2022-05-27,Stand by Me,1986,https://boxd.it/2SofsJ,4.5,Yes,,2022-05-26
2022-05-27,Pee-wee's Big Holiday,2016,https://boxd.it/2SoC6L,3,,,2022-05-26
2022-05-29,The Ring,2002,https://boxd.it/2SDZ7d,3,,,2022-05-28
2022-06-02,Ponyo,2008,https://boxd.it/2TrkNH,4,Yes,,2022-06-01
2022-06-18,The Muppets,2011,https://boxd.it/2WfZGl,4,Yes,,2022-06-17
2022-06-19,The Muppet Movie,1979,https://boxd.it/2WsHad,4.5,,,2022-06-18
2022-06-21,Muppet Treasure Island,1996,https://boxd.it/2WTxVd,3.5,,,2022-06-20
2022-06-24,The Muppets Take Manhattan,1984,https://boxd.it/2Xqfu5,4,,,2022-06-22
2022-06-24,Muppets Haunted Mansion,2021,https://boxd.it/2XqFPt,3.5,,,2022-06-23
2022-07-07,Boogie Nights,1997,https://boxd.it/2ZTawr,4.5,Yes,,2022-07-06
2022-07-11,Thor: Love and Thunder,2022,https://boxd.it/30z92p,3,,,2022-07-09
2022-07-12,Girl in the Picture,2022,https://boxd.it/30UMTz,3,,,2022-07-11
2022-07-24,Minions: The Rise of Gru,2022,https://boxd.it/33eR2X,3,,,2022-07-23
2022-08-17,Licorice Pizza,2021,https://boxd.it/38AsGn,4,,,2022-08-16
2022-08-20,Bodies Bodies Bodies,2022,https://boxd.it/39h6MJ,4,,,2022-08-20
2022-08-21,On the Count of Three,2021,https://boxd.it/39sPIz,3.5,,,2022-08-20
2022-08-23,Incarnate,2016,https://boxd.it/39Uwvn,2,,,2022-08-21
2022-08-28,Catch Me If You Can,2002,https://boxd.it/3aK2rJ,3.5,,,2022-08-27
2022-09-01,Our Father,2022,https://boxd.it/3buXk3,2.5,,,2022-08-31
2022-09-12,Twilight,2008,https://boxd.it/3dAZuf,3.5,Yes,,2022-09-11
2022-09-12,The Twilight Saga: New Moon,2009,https://boxd.it/3dAZHj,3,Yes,,2022-09-11
2022-09-12,The Twilight Saga: Eclipse,2010,https://boxd.it/3dAZQZ,3,Yes,,2022-09-11
2022-09-20,Elvis,2022,https://boxd.it/3f7mEP,3,,,2022-09-19
2022-09-25,Don't Worry Darling,2022,https://boxd.it/3g2B2l,3,,,2022-09-24
2022-09-26,Pearl,2022,https://boxd.it/3gi4f9,4.5,,,2022-09-25
2022-10-04,DAHMER - Monster: The Jeffrey Dahmer Story,2022,https://boxd.it/3hXPCP,4,,,2022-10-02
2022-10-05,X,2022,https://boxd.it/3i8cbH,4,,,2022-10-04
2022-10-23,American Psycho,2000,https://boxd.it/3lXoAt,5,Yes,,2022-10-23
2022-11-02,The Rocky Horror Picture Show,1975,https://boxd.it/3o9d8l,4,Yes,,2022-10-28
2022-11-02,The Rocky Horror Picture Show,1975,https://boxd.it/3o9d0V,4,Yes,,2022-10-29
2022-11-02,The Rocky Horror Picture Show,1975,https://boxd.it/3o9cRT,4,Yes,,2022-10-31
2022-11-02,X,2022,https://boxd.it/3o9cJZ,4,Yes,,2022-11-01
2022-11-26,Eyes Wide Shut,1999,https://boxd.it/3t58PV,4,,,2022-11-25
2022-11-27,Weird: The Al Yankovic Story,2022,https://boxd.it/3tlbx3,3.5,,,2022-11-26
2022-11-30,My Policeman,2022,https://boxd.it/3u3q4j,3.5,,,2022-11-29
2022-12-01,American Psycho,2000,https://boxd.it/3uaIh5,5,Yes,,2022-11-30
2022-12-09,How to Lose a Guy in 10 Days,2003,https://boxd.it/3vP3cp,4,,,2022-12-08
2022-12-16,The Batman,2022,https://boxd.it/3xl4zH,4.5,Yes,,2022-12-15
2022-12-19,Avatar: The Way of Water,2022,https://boxd.it/3y2SOj,4,,,2022-12-18
2022-12-21,X,2022,https://boxd.it/3yHWuz,4,Yes,,2022-12-20
2022-12-23,The Muppet Christmas Carol,1992,https://boxd.it/3zbsrb,3.5,,,2022-12-22
2022-12-24,Glass Onion,2022,https://boxd.it/3zvgHh,4,,,2022-12-23
2022-12-25,How the Grinch Stole Christmas!,1966,https://boxd.it/3zLRwH,3.5,,,2022-12-24
2022-12-25,BoJack Horseman Christmas Special,2014,https://boxd.it/3zLS6F,3,,,2022-12-24
2022-12-25,Scrooged,1988,https://boxd.it/3zPNQB,3.5,,,2022-12-24
2022-12-29,Pearl,2022,https://boxd.it/3BqquP,4.5,Yes,,2022-12-28
2023-01-01,Nope,2022,https://boxd.it/3CpKvv,4,,,2022-12-31
2023-01-03,Amsterdam,2022,https://boxd.it/3Dk9hv,3,,,2023-01-02
2023-01-06,The Lego Batman Movie,2017,https://boxd.it/3Ez0fJ,4,Yes,,2023-01-05
2023-01-07,M3GAN,2022,https://boxd.it/3F0YZV,3.5,,,2023-01-06
2023-01-08,Pearl,2022,https://boxd.it/3FtCPR,4.5,Yes,,2023-01-07
2023-01-16,Jennifer's Body,2009,https://boxd.it/3InC3j,3.5,,,2023-01-15
2023-01-19,The Rocky Horror Picture Show,1975,https://boxd.it/3Jh2sJ,4,Yes,,2023-01-18
2023-01-20,M3GAN,2022,https://boxd.it/3JxEYF,3.5,Yes,,2023-01-19
2023-01-21,Jennifer's Body,2009,https://boxd.it/3JNzAb,3.5,Yes,,2023-01-20
2023-01-26,Hot Rod,2007,https://boxd.it/3LqT8N,3.5,Yes,,2023-01-25
2023-01-27,Skinamarink,2022,https://boxd.it/3LMgQZ,2.5,,,2023-01-27
2023-01-28,The Lobster,2015,https://boxd.it/3M4OPR,4,,,2023-01-27
2023-02-04,Puss in Boots: The Last Wish,2022,https://boxd.it/3O7rmr,3.5,,,2023-02-03
2023-02-06,Everything Everywhere All at Once,2022,https://boxd.it/3OX9cd,4.5,,,2023-02-05
2023-02-09,80 for Brady,2023,https://boxd.it/3PK8d3,4,,,2023-02-08
2023-02-11,Infinity Pool,2023,https://boxd.it/3QesDP,5,,,2023-02-10
2023-02-26,Cocaine Bear,2023,https://boxd.it/3UfPGl,3,,,2023-02-24
2023-03-03,Rango,2011,https://boxd.it/3VNEr7,3,,,2023-03-02
2023-03-05,Twilight,2008,https://boxd.it/3Wq8fV,3.5,Yes,,2023-03-04
2023-03-17,The Twilight Saga: New Moon,2009,https://boxd.it/3ZFmSz,3.5,Yes,,2023-03-16
2023-04-08,Shark Tale,2004,https://boxd.it/45FaUH,3.5,Yes,,2023-04-07
2023-04-15,Renfield,2023,https://boxd.it/47CoNH,3.5,,,2023-04-14
2023-04-17,The Lego Batman Movie,2017,https://boxd.it/48flDx,4,Yes,,2023-04-16
2023-04-30,The Rocky Horror Picture Show,1975,https://boxd.it/4boLlJ,4,Yes,,2023-04-28
2023-05-01,Beau Is Afraid,2023,https://boxd.it/4bTIvD,3,,,2023-04-30
2023-05-27,Fantastic Mr. Fox,2009,https://boxd.it/4imiN9,5,,,2023-05-26
2023-05-27,The Grand Budapest Hotel,2014,https://boxd.it/4ingGR,4.5,Yes,,2023-05-26
