Date,Name,Year,Letterboxd URI
2021-04-28,The Falcon and the Winter Soldier,2021,https://boxd.it/sbH6
2021-04-28,Avengers: Endgame,2019,https://boxd.it/9vE4
2021-04-28,Captain America: Civil War,2016,https://boxd.it/89Ja
2021-04-28,Spider-Man: Far from Home,2019,https://boxd.it/fegG
2021-05-19,Captain America: The Winter Soldier,2014,https://boxd.it/3r58
2021-05-24,Soul,2020,https://boxd.it/ioLA
2021-05-24,My Neighbor Totoro,1988,https://boxd.it/20eA
2021-06-02,Bo Burnham: Inside,2021,https://boxd.it/v2uy
2021-07-18,Loki,2021,https://boxd.it/sbHg
2021-07-22,Kiki's Delivery Service,1989,https://boxd.it/1JAY
2021-07-23,Space Jam: A New Legacy,2021,https://boxd.it/dd9A
2021-07-24,"Yes, God, Yes",2019,https://boxd.it/jaGS
2021-07-25,The Confession Killer,2019,https://boxd.it/ooKE
2021-07-28,The Twilight Saga: Breaking Dawn - Part 2,2012,https://boxd.it/DdC
2021-07-31,Black Widow,2021,https://boxd.it/hWV8
2021-08-07,The Suicide Squad,2021,https://boxd.it/fw6O
2021-08-15,Free Guy,2021,https://boxd.it/k8dm
2021-08-23,Surviving R. Kelly,2019,https://boxd.it/l2ao
2021-09-18,Boogie Nights,1997,https://boxd.it/23um
2021-10-03,The Guilty,2021,https://boxd.it/kOPW
2021-10-04,Ghost,1990,https://boxd.it/2aLE
2021-10-30,School of Rock,2003,https://boxd.it/28xK
2021-11-04,Scream,1996,https://boxd.it/24EC
2021-11-05,The Rocky Horror Picture Show,1975,https://boxd.it/1a3q
2021-11-05,The Machinist,2004,https://boxd.it/248c
2021-11-12,21 Jump Street,2012,https://boxd.it/J0
2021-11-14,The French Dispatch,2021,https://boxd.it/jLP8
2021-11-26,Murder Among the Mormons,2021,https://boxd.it/u93W
2021-12-19,Friday the 13th,1980,https://boxd.it/24fs
2021-12-23,The Bling Ring,2013,https://boxd.it/3lPY
2021-12-25,Encanto,2021,https://boxd.it/kPRu
2021-12-25,"tick, tick...BOOM!",2021,https://boxd.it/jz2e
2021-12-27,Spider-Man: No Way Home,2021,https://boxd.it/nwRw
2021-12-29,The Social Network,2010,https://boxd.it/17ue
2021-12-29,Finding Nemo,2003,https://boxd.it/72i
2021-12-29,Jaws,1975,https://boxd.it/2a5e
