Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2020-01-13,Nightcrawler,2014,https://boxd.it/WuSLR,5,Yes,,2020-01-12
2020-07-17,Superbad,2007,https://boxd.it/1fK4st,4,,,2020-07-05
